Cod Istat,Wohngemeinde,latitudine,longitudine,Comune di residenza,16-03-2020,18-03-2020,20-03-2020,21-03-2020,22-03-2020
21023,Karneid,"46,4938266","11,3932545",Cornedo all'Isarco,7.0,9.0,15.0,17.0,17.0
21022,Klausen,"46,6396290","11,5648150",Chiusa,2.0,6.0,10.0,10.0,10.0
21021,Kiens,"46,8075280","11,8375510",Chienes,3.0,3.0,4.0,5.0,9.0
21019,Kastelruth,"46,5675000","11,5620370",Castelrotto,40.0,66.0,85.0,85.0,97.0
21016,Freienfeld,"46,8715623","11,4841965",Campo di Trens,11.0,11.0,16.0,23.0,23.0
21015,Kaltern a.d. Weinstr.,"46,3947429","11,2543808",Caldaro s.s.d.v.,22.0,22.0,24.0,26.0,28.0
21013,Bruneck,"46,7976004","11,9367814",Brunico,5.0,9.0,12.0,17.0,28.0
21012,Branzoll,"46,4032962","11,3206481",Bronzolo,3.0,3.0,3.0,3.0,3.0
21011,Brixen,"46,7126050","11,6577450",Bressanone,37.0,39.0,66.0,79.0,84.0
21010,Brenner,"47,0032191","11,5052116",Brennero,11.0,13.0,13.0,13.0,13.0
21008,Bozen,"46,4951665","11,3541034",Bolzano,216.0,305.0,393.0,414.0,441.0
21007,Barbian,"46,6031216","11,5203189",Barbiano,2.0,2.0,2.0,3.0,3.0
21006,Abtei,"46,6110964","11,8945367",Badia,3.0,3.0,11.0,12.0,14.0
21004,Eppan a.d. Weinstr.,"46,4431279","11,2600254",Appiano s.s.d.v.,18.0,80.0,86.0,87.0,90.0
21001,Aldein,"46,3670565","11,3539265",Aldino,2.0,6.0,6.0,6.0,6.0
21086,Sarntal,"46,6426550","11,3580047",Sarentino,,1.0,1.0,1.0,1.0
21075,Rodeneck,"46,7802334","11,6898588",Rodengo,,1.0,1.0,1.0,1.0
21058,Welschnofen,"46,4655490","11,5231100",Nova Levante,,22.0,22.0,22.0,22.0
21041,Lana,"46,6134629","11,1570555",Lana,,6.0,8.0,11.0,15.0
21034,Gais,"46,8315210","11,9457007",Gais,,2.0,2.0,4.0,4.0
21033,Villnöss,"46,6403946","11,6865436",Funes,,10.0,11.0,11.0,11.0
21017,Sand in Taufers,"46,9150700","11,9525500",Campo Tures,,5.0,7.0,18.0,18.0
21118,U.L.Frau i.W.-St.Felix,"46,4918545","11,1330852",Senale-S.Felice,,,2.0,2.0,2.0
21113,Niederdorf,"46,7380720","12,1727230",Villabassa,,,,0.0,2.0
21112,Vöran,"46,6051025","11,2265969",Verano,,,,2.0,2.0
21096,Terenten,"46,8314074","11,7811111",Terento,,,,1.0,1.0
21088,Mühlwald,"46,8998795","11,8451885",Selva dei Molini,,,1.0,2.0,2.0
21073,Riffian,"46,7047037","11,1828333",Rifiano,,,,2.0,2.0
21071,Rasen-Antholz,"46,7795555","12,0484629",Rasun Anterselva,,,,1.0,1.0
21062,Partschins,"46,6851666","11,0745555",Parcines,,,,0.0,2.0
21052,Welsberg-Taisten,"46,7665760","12,1153940",Monguelfo-Tesido,,,3.0,3.0,3.0
21027,Graun im Vinschgau,"46,8084204","10,5421650",Curon Venosta,,,2.0,2.0,2.0
21024,Kurtatsch a.d.Weinstr.,"46,3762076","11,2521805",Cortaccia s.s.d.v.,,,1.0,1.0,2.0
21020,Tscherms,"46,6356481","11,1476666",Cermes,,,,0.0,1.0
21009,Prags,"46,7177959","12,1134198",Braies,,,,0.0,4.0
